href,section_value
https://indianexpress.com/article/sports/sport-others/rohit-sharma-virat-kohli-t20-world-cup-pr-sreejesh-krishna-pathak-lakshya-sen-paris-olympics-9091469/,Sports
https://indianexpress.com/article/sports/football/magnus-carlsen-pep-guardiola-football-chess-similarities-9067158/,Sports
https://indianexpress.com/article/world/trump-takes-colorado-ballot-disqualification-to-us-supreme-court-9094521/,World
https://indianexpress.com/article/world/court-records-new-detail-old-sex-abuse-allegations-jeffrey-epstein-9094523/,World
https://indianexpress.com/article/world/united-states-mosque-imam-shot-killed-9094447/,World
https://indianexpress.com/article/world/russia-ukraine-exchange-prisoners-war-deal-brokered-uae-9094148/,World
https://indianexpress.com/article/world/israels-mossad-chief-hamas-members-senior-figure-killed-strike-9094112/,World
https://indianexpress.com/article/world/group-of-indian-origin-alleged-fraudsters-face-trial-in-scotland-court-9093865/,World
https://indianexpress.com/article/world/iranian-guard-commander-qassem-solemani-tomb-blast-9093807/,World
https://indianexpress.com/article/world/doctors-strike-britian-9093410/,World
https://indianexpress.com/article/world/israel-alert-possible-hezbollah-response-senior-hamas-leader-killed-beirut-strike-9093498/,World
https://indianexpress.com/article/world/claudine-gay-resigns-as-harvard-president-inside-story-9092909/,World
https://indianexpress.com/article/world/wealthy-indian-origin-couple-us-death-update-9092869/,World
https://indianexpress.com/article/world/japan-plane-goes-up-in-fireball-details-9092749/,World
https://indianexpress.com/article/world/powerful-earthquakes-leave-at-least-57-dead-destroy-buildings-along-japans-western-coast-9092770/,World
https://indianexpress.com/article/world/harvard-president-claudine-gay-resigns-amid-plagiarism-claims-backlash-from-antisemitism-testimony-9092721/,World
https://indianexpress.com/article/world/hezbollahs-tv-station-says-top-hamas-official-saleh-arouri-killed-in-beirut-blast-9092459/,World
https://indianexpress.com/article/world/israel-defend-itself-genocide-accusations-world-court-9092324/,World
https://indianexpress.com/article/world/japan-airlines-plane-coast-guard-aircraft-collision-9092180/,World
https://indianexpress.com/article/world/rishi-sunak-uk-asylum-target-success-9092125/,World
https://indianexpress.com/article/world/watch-video-japan-airplane-fire-9091911/,World
https://indianexpress.com/article/world/fighting-hamas-israel-rages-partial-troop-withdrawal-9091880/,World
https://indianexpress.com/article/world/japan-fire-plane-tokyo-haneda-airport-9091821/,World
https://indianexpress.com/article/world/britain-aging-population-9091460/,World
https://indianexpress.com/article/world/kyiv-russia-ukraine-missile-attack-9091466/,World
https://indianexpress.com/article/world/watch-japan-earthquake-tsunami-aftermath-photos-videos-9091261/,World
https://indianexpress.com/article/world/south-korea-opposition-chief-stabbed-live-updates-9091257/,World
https://indianexpress.com/article/india/list-of-public-holidays-in-india-2024-9081733/,World
https://indianexpress.com/article/technology/tech-news-technology/redmi-note-13-series-launch-live-updates-9093403/,World
